2018-03-05 20:20:08.1625 | WebApplication2.Controllers.HomeController.CreateDisks | DEBUG | CreateDisks 

2018-03-05 21:18:16.1083 | WebApplication2.Controllers.HomeController.CreateDisks | DEBUG | CreateDisks 

2018-03-05 21:58:22.5001 | WebApplication2.Controllers.HomeController.CreateDisks | DEBUG | CreateDisks 

2018-03-05 22:00:25.4794 | WebApplication2.Controllers.HomeController.CreateDisks | DEBUG | CreateDisks 

2018-03-05 22:01:15.6684 | WebApplication2.Controllers.HomeController.CreateDisks | DEBUG | CreateDisks 

2018-03-05 22:01:51.2561 | WebApplication2.Controllers.HomeController.CreateDisks | TRACE | create order 

